list_name,official_id,gender,additional_info,extra
EU,EU.27.28,M,UNSC RESOLUTION 1483,"{""addresses"":[],""name_aliases"":[{""full_name"":""saddam hussein al-tikriti""},{""full_name"":""abu ali""},{""full_name"":""abou ali""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""date"":""1937-04-28"",""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja, near Tikrit"",""country_code"":""IQ""}]}"
EU,EU.39.56,M,Saddam's second son,"{""addresses"":[],""name_aliases"":[{""full_name"":""qoussaï saddam hussein al-tikriti""},{""full_name"":""qusay saddam hussein al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1966,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""},{""year"":1965,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""}]}"
EU,EU.16.62,M,Saddam's eldest son,"{""addresses"":[],""name_aliases"":[{""full_name"":""oudaï saddam hussein al-tikriti""},{""full_name"":""uday saddam hussein al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1967,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""},{""year"":1964,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Baghdad"",""country_code"":""""}]}"
EU,EU.11.43,M,"","{""addresses"":[],""name_aliases"":[{""full_name"":""abed mahmoud hammoud""},{""full_name"":""abid hamid bid hamid mahmud""},{""full_name"":""abed mahmoud hammud""},{""full_name"":""abid hamid mahmoud al-tikriti""},{""full_name"":""abid hamid bid hamid mahmoud""},{""full_name"":""abdel hamid mahmoud""},{""full_name"":""abid hamid mahmud al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1957,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja, near Tikrit"",""country_code"":""""}]}"
EU,EU.22.9,M,UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""ali hassan al-majid al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1943,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja, near Tikrit"",""country_code"":""IQ""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Al-Awja, near Tikrit (J.O. ES)"",""country_code"":""""}]}"
EU,EU.42.11,M,UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""izzat ibrahim al-duri""},{""full_name"":""izzat ibrahim al-duri""},{""full_name"":""abu ahmad""},{""full_name"":""izzat ibrahim al-duri""},{""full_name"":""abu brays""},{""full_name"":""abu ahmad""},{""full_name"":""izzat ibrahim al-douri""},{""full_name"":""izzat ibrahim al-duri""},{""full_name"":""abu brays""},{""full_name"":""abu brays""},{""full_name"":""abu ahmad""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1942,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Dur"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Al-Dur (J.O. ES)"",""country_code"":""""}]}"
EU,EU.35.2,"","","{""addresses"":[],""name_aliases"":[{""full_name"":""hani abdel-latif tilfah al-tikriti""},{""full_name"":""hani abd-al-latif tilfah al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""year"":1962,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja, near Tikrit"",""country_code"":""""}]}"
EU,EU.106.12,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""muhammad hamza zubaidi""},{""full_name"":""mohammed hamza zoubaïdi""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Babylone, Babil (J.O. FR)"",""country_code"":""""},{""year"":1938,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Babylon, Babil"",""country_code"":""""}]}"
EU,EU.19.54,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""barzan abd al-ghafur sulaiman majid al-tikriti""},{""full_name"":""barzan abdel ghafour souleiman majid al-tikriti""},{""full_name"":""barzan razuki abd al-ghafur""},{""full_name"":""barzan razuki abd al-ghafur""},{""full_name"":""barzan razuki abdel ghafour""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salah Al-Din (J.O. ES)"",""country_code"":""""},{""year"":1960,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salah al-Din"",""country_code"":""""},{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salaheddine (J.O. FR)"",""country_code"":""""}]}"
EU,EU.20.79,"",UNSC RESOLUTION 1483 BASIS,"{""addresses"":[],""name_aliases"":[{""full_name"":""muzahim sa'b hassan al-tikriti""},{""full_name"":""muzahem saab hassan al-tikriti""},{""full_name"":""muzahim sa'b hassan al-tikriti""}],""citizenships"":[{""place"":"""",""country_code"":""IQ""}],""birth_datas"":[{""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salaheddine (J.O. FR)"",""country_code"":""""},{""year"":1960,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salah al-Din"",""country_code"":""""},{""year"":1946,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja near Tikrit"",""country_code"":""""},{""year"":1949,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salah al-Din"",""country_code"":""""},{""year"":1946,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""Salah al-Din"",""country_code"":""""},{""year"":1960,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja near Tikrit"",""country_code"":""""},{""year"":1949,""calendar_type"":""GREGORIAN"",""zip_code"":"""",""place"":"""",""city"":""al-Awja near Tikrit"",""country_code"":""""}]}"
